index,k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Thysochromis;s__ansorgii,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__yuri,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Cheilopogon;s__antoncichi,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__jaguana,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Seriola;s__rivoliana,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Jenkinsia;s__lamprotaenia,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hemiramphus;s__lutkei,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Elagatis;s__bipinnulata,k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__incisor,k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Sternula;s__antillarum,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__leopardus,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__harengus,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Anchoa;s__hepsetus,k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Hyperoplus;s__lanceolatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Poeciliidae;g__Gambusia;s__affinis,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Engraulis;s__encrasicolus,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Trachinotus;s__mookalee,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Merlangius;s__merlangus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Exocoetus;s__volitans,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Lotidae;g__Brosme;s__brosme,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Cheilopogon;s__doederleinii,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Coryphaenidae;g__Coryphaena;s__hippurus,k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__sapiens,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Belonidae;g__Tylosurus;s__crocodilus crocodilus,k__Metazoa;p__Chordata;c__Actinopteri;o__Elopiformes;f__Elopidae;g__Elops;s__hawaiensis,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Polynemidae;g__Eleutheronema;s__rhadinum,Unassigned;__;__;__;__;__;__,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Exocoetus;s__monocirrhus,k__Metazoa;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Mullidae;g__Mulloidichthys;s__vanicolensis,k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinidae;g__Craterocephalus;s__fluviatilis,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hemiramphus;s__far,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Pomacentridae;g__Abudefduf;s__saxatilis,k__Metazoa;p__Chordata;c__Actinopteri;o__Gerreiformes;f__Gerreidae;g__Gerres;s__cinereus,k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Ctenogobius;s__boleosoma,k__Metazoa;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Agonostomus;s__monticola,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Anchoa;s__delicatissima,k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Myotomys;s__unisulcatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Exocoetidae;g__Hirundichthys;s__oxycephalus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__quoyi,k__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__bigibbus,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Opisthonema;s__oglinum,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Pomacentridae;g__Stegastes;s__planifrons,k__Metazoa;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Carangoides;s__bartholomaei,k__Metazoa;p__Chordata;c__Actinopteri;o__Euteleosteomorpha;f__Pomacentridae;g__Abudefduf;s__vaigiensis,k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinidae;g__Atherinomorus;s__cf. regina FRLM:40035,Well,Species,SampleType,Colony
BLANK_21-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D4,EX BLANK,OTHER,
LETE_2022_CR1,3293,0,0,194,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,LETE,SAMPLE,CR
LETE_2022_CR10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E2,LETE,SAMPLE,CR
LETE_2022_CR12,11842,29735,0,12,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,409,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,G2,LETE,SAMPLE,CR
LETE_2022_CR13,0,630,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2,LETE,SAMPLE,CR
LETE_2022_CR14,502,39859,121394,40,0,0,0,0,0,2989,0,0,0,0,0,0,0,0,0,0,0,152,198,568,0,0,0,169,586,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A3,LETE,SAMPLE,CR
LETE_2022_CR15,551,173,111204,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,188,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,B3,LETE,SAMPLE,CR
LETE_2022_CR16,0,0,0,0,0,95894,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3,LETE,SAMPLE,CR
LETE_2022_CR17,436,6,80,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D3,LETE,SAMPLE,CR
LETE_2022_CR18,998,1540,285,29659,0,27,0,0,0,1504,0,0,0,0,0,0,0,0,0,7118,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E3,LETE,SAMPLE,CR
LETE_2022_CR19,121,0,165,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F3,LETE,SAMPLE,CR
LETE_2022_CR2,9025,1058,0,2237,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,LETE,SAMPLE,CR
LETE_2022_CR20,0,0,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G3,LETE,SAMPLE,CR
LETE_2022_CR21,739,104324,621,23,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,724,1101,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H3,LETE,SAMPLE,CR
LETE_2022_CR22,194,8,10940,11702,0,0,0,0,0,780,0,30,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,A4,LETE,SAMPLE,CR
LETE_2022_CR23,2047,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,B4,LETE,SAMPLE,CR
LETE_2022_CR24,0,0,0,3,141256,0,0,75026,0,157,0,0,0,0,0,0,0,8055,0,0,0,0,0,19,0,0,856,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,C4,LETE,SAMPLE,CR
LETE_2022_CR25,0,0,0,0,0,0,34478,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,E4,LETE,SAMPLE,CR
LETE_2022_CR26,34302,0,0,0,10,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F4,LETE,SAMPLE,CR
LETE_2022_CR27,27960,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1708,0,0,0,0,0,0,0,14,0,0,0,0,0,0,165,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,G4,LETE,SAMPLE,CR
LETE_2022_CR28,7,0,15680,63,0,0,11,0,21,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,H4,LETE,SAMPLE,CR
LETE_2022_CR29,437,0,0,14560,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A5,LETE,SAMPLE,CR
LETE_2022_CR3,0,22069,0,0,0,0,0,0,0,219,0,0,0,179,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,LETE,SAMPLE,CR
LETE_2022_CR30,86416,0,0,11469,0,31598,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,B5,LETE,SAMPLE,CR
LETE_2022_CR31,125792,293,0,0,0,0,289,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,152,0,137,433,0,0,68,0,0,69,0,228,0,0,0,0,0,0,0,0,0,0,0,8,0,C5,LETE,SAMPLE,CR
LETE_2022_CR32,25573,8,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,D5,LETE,SAMPLE,CR
LETE_2022_CR33,109,0,0,14123,0,0,0,0,0,13672,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,E5,LETE,SAMPLE,CR
LETE_2022_CR34,0,0,0,451,0,0,0,0,4122,99,0,6882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F5,LETE,SAMPLE,CR
LETE_2022_CR35,2492,9,8,0,0,0,1167,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5,LETE,SAMPLE,CR
LETE_2022_CR36,7,74,0,0,0,0,14457,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5,LETE,SAMPLE,CR
LETE_2022_CR37,6,0,0,0,0,0,0,0,0,518,0,19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A6,LETE,SAMPLE,CR
LETE_2022_CR38,4,0,96302,61,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B6,LETE,SAMPLE,CR
LETE_2022_CR39,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6,LETE,SAMPLE,CR
LETE_2022_CR4,21,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F1,LETE,SAMPLE,CR
LETE_2022_CR40,288377,231769,0,0,0,0,72,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,327,6,0,0,0,0,0,353,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,D6,LETE,SAMPLE,CR
LETE_2022_CR41,23856,3427,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,4490,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,E6,LETE,SAMPLE,CR
LETE_2022_CR42,34724,4901,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,F6,LETE,SAMPLE,CR
LETE_2022_CR43,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,H6,LETE,SAMPLE,CR
LETE_2022_CR44,21,0,0,0,0,0,58,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A7,LETE,SAMPLE,CR
LETE_2022_CR45,0,0,0,0,0,0,1348,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B7,LETE,SAMPLE,CR
LETE_2022_CR46,125,0,0,0,0,0,3854,0,679,547,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7,LETE,SAMPLE,CR
LETE_2022_CR47,75,36,0,14755,0,0,54616,0,67,839,0,0,0,0,0,0,0,0,0,0,0,0,3536,32,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D7,LETE,SAMPLE,CR
LETE_2022_CR48,0,49,0,455,0,0,0,0,23213,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E7,LETE,SAMPLE,CR
LETE_2022_CR49,174,0,0,24789,0,0,0,0,0,230,0,0,0,0,0,32,11601,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,15,0,0,0,F7,LETE,SAMPLE,CR
LETE_2022_CR5,18742,0,52,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1,LETE,SAMPLE,CR
LETE_2022_CR50,2670,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,G7,LETE,SAMPLE,CR
LETE_2022_CR51,0,0,559,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,107,0,101,0,0,0,0,0,0,0,0,0,0,H7,LETE,SAMPLE,CR
LETE_2022_CR6,33051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H1,LETE,SAMPLE,CR
LETE_2022_CR7,20938,0,0,1323,0,0,0,0,0,4,0,0,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,LETE,SAMPLE,CR
LETE_2022_CR8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,LETE,SAMPLE,CR
LETE_2022_CR9,0,33682,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,LETE,SAMPLE,CR
LETE_2022_P1,2,0,0,669,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8,LETE,SAMPLE,P
LETE_2022_P2,0,0,0,29358,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B8,LETE,SAMPLE,P
LETE_2022_P3,4,3,0,17,0,0,0,0,0,31,0,0,0,0,0,4560,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,C8,LETE,SAMPLE,P
LETE_2022_P4,12078,0,0,737,0,0,0,0,0,29,0,0,0,0,0,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,D8,LETE,SAMPLE,P
MOCK_21,0,0,0,0,0,0,0,0,0,0,21668,0,17509,0,16594,0,0,0,7325,0,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A1,MOCK,OTHER,
PCR_BLANK_21-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,PCR NEG,OTHER,
PCR_BLANK_21-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H12,PCR NEG,OTHER,